Time,Occupancy
2023-03-15 00:02:00.745001-04:00,0
2023-03-15 00:07:13.934591-04:00,0
2023-03-15 00:12:25.559498-04:00,0
2023-03-15 00:17:41.574364-04:00,0
2023-03-15 00:23:02.756393-04:00,0
2023-03-15 00:28:36.531150-04:00,0
2023-03-15 00:31:29.015091-04:00,0
2023-03-15 00:36:42.478510-04:00,0
2023-03-15 00:41:52.186094-04:00,0
2023-03-15 00:57:18.407556-04:00,0
2023-03-15 01:02:27.577909-04:00,0
2023-03-15 01:07:40.577444-04:00,0
2023-03-15 01:12:50.292585-04:00,0
2023-03-15 01:18:00.632646-04:00,0
2023-03-15 01:23:09.360126-04:00,0
2023-03-15 01:28:18.351984-04:00,0
2023-03-15 01:33:28.114854-04:00,0
2023-03-15 01:38:38.221127-04:00,0
2023-03-15 01:41:56.703400-04:00,0
2023-03-15 01:47:07.443303-04:00,0
2023-03-15 01:52:16.205179-04:00,0
2023-03-15 01:57:25.503023-04:00,0
2023-03-15 02:02:34.299959-04:00,0
2023-03-15 02:07:43.079078-04:00,0
2023-03-15 02:12:52.377549-04:00,0
2023-03-15 02:18:01.162898-04:00,0
2023-03-15 02:23:15.276243-04:00,0
2023-03-15 02:27:04.185522-04:00,0
2023-03-15 02:32:23.648643-04:00,0
2023-03-15 02:37:33.427588-04:00,0
2023-03-15 02:42:43.999036-04:00,0
2023-03-15 02:47:52.793839-04:00,0
2023-03-15 02:53:02.166961-04:00,0
2023-03-15 02:58:12.655014-04:00,0
2023-03-15 03:03:22.451792-04:00,0
2023-03-15 03:09:08.930735-04:00,0
2023-03-15 03:11:58.501868-04:00,0
2023-03-15 03:17:18.951188-04:00,0
2023-03-15 03:22:28.062976-04:00,0
2023-03-15 03:27:37.167067-04:00,0
2023-03-15 03:32:59.247960-04:00,0
2023-03-15 03:38:08.214082-04:00,0
2023-03-15 03:43:17.581866-04:00,0
2023-03-15 03:48:26.580612-04:00,0
2023-03-15 03:52:01.665062-04:00,0
2023-03-15 03:57:14.245627-04:00,0
2023-03-15 04:02:25.901694-04:00,0
2023-03-15 04:07:36.611001-04:00,0
2023-03-15 04:12:48.787605-04:00,0
2023-03-15 04:18:00.826358-04:00,0
2023-03-15 04:23:11.461961-04:00,0
2023-03-15 04:28:20.430710-04:00,0
2023-03-15 04:32:01.717933-04:00,0
2023-03-15 04:37:14.851078-04:00,0
2023-03-15 04:42:33.954375-04:00,0
2023-03-15 04:47:50.288358-04:00,0
2023-03-15 04:53:00.426856-04:00,0
2023-03-15 04:58:11.782590-04:00,0
2023-03-15 05:03:37.199010-04:00,0
2023-03-15 05:08:49.979227-04:00,0
2023-03-15 05:12:01.731557-04:00,0
2023-03-15 05:17:16.749741-04:00,0
2023-03-15 05:22:26.297155-04:00,0
2023-03-15 05:27:35.978549-04:00,0
2023-03-15 05:32:45.323255-04:00,0
2023-03-15 05:37:54.265121-04:00,0
2023-03-15 05:43:04.878832-04:00,0
2023-03-15 05:48:13.649563-04:00,0
2023-03-15 05:51:12.348463-04:00,0
2023-03-15 05:56:29.951422-04:00,0
2023-03-15 06:01:39.150755-04:00,0
2023-03-15 06:06:49.482820-04:00,81
2023-03-15 06:12:01.866963-04:00,96
2023-03-15 06:17:12.051809-04:00,111
2023-03-15 06:22:22.390526-04:00,130
2023-03-15 06:27:31.571509-04:00,143
2023-03-15 06:31:10.588271-04:00,151
2023-03-15 06:36:21.388409-04:00,166
2023-03-15 06:41:37.804389-04:00,169
2023-03-15 06:46:47.597445-04:00,183
2023-03-15 06:51:56.812390-04:00,189
2023-03-15 06:57:07.238572-04:00,196
2023-03-15 07:02:18.189389-04:00,208
2023-03-15 07:07:27.355497-04:00,224
2023-03-15 07:11:12.394056-04:00,232
2023-03-15 07:16:26.968666-04:00,239
2023-03-15 07:21:39.595432-04:00,249
2023-03-15 07:26:50.074154-04:00,248
2023-03-15 07:31:59.474513-04:00,242
2023-03-15 07:37:09.065724-04:00,245
2023-03-15 07:42:34.796722-04:00,254
2023-03-15 07:47:44.563226-04:00,267
2023-03-15 07:51:16.076986-04:00,267
2023-03-15 07:56:41.017883-04:00,274
2023-03-15 08:01:51.974060-04:00,286
2023-03-15 08:07:01.745345-04:00,284
2023-03-15 08:12:11.402653-04:00,270
2023-03-15 08:17:25.447797-04:00,268
2023-03-15 08:22:39.359151-04:00,267
2023-03-15 08:27:50.973190-04:00,265
2023-03-15 08:31:11.468624-04:00,267
2023-03-15 08:36:30.010635-04:00,261
2023-03-15 08:41:42.954198-04:00,256
2023-03-15 08:46:53.260788-04:00,251
2023-03-15 08:52:02.978138-04:00,252
2023-03-15 08:57:12.682750-04:00,261
2023-03-15 09:02:27.004868-04:00,264
2023-03-15 09:07:36.401555-04:00,262
2023-03-15 09:13:28.394543-04:00,272
2023-03-15 09:18:40.113350-04:00,276
2023-03-15 09:23:51.985926-04:00,275
2023-03-15 09:29:02.220047-04:00,272
2023-03-15 09:34:14.675676-04:00,262
2023-03-15 09:39:26.437806-04:00,258
2023-03-15 09:44:32.860162-04:00,257
2023-03-15 09:49:44.767964-04:00,255
2023-03-15 09:53:29.087008-04:00,242
2023-03-15 09:58:40.146497-04:00,239
2023-03-15 10:03:50.650073-04:00,247
2023-03-15 10:09:03.466384-04:00,249
2023-03-15 10:14:17.793979-04:00,267
2023-03-15 10:19:27.084757-04:00,256
2023-03-15 10:24:37.313873-04:00,255
2023-03-15 10:29:48.075867-04:00,268
2023-03-15 10:33:30.564348-04:00,262
2023-03-15 10:38:48.453385-04:00,262
2023-03-15 10:43:59.588102-04:00,269
2023-03-15 10:49:10.831905-04:00,268
2023-03-15 10:54:23.180347-04:00,260
2023-03-15 10:59:35.235430-04:00,267
2023-03-15 11:04:47.226571-04:00,274
2023-03-15 11:10:04.995741-04:00,279
2023-03-15 11:13:27.549904-04:00,278
2023-03-15 11:18:40.048576-04:00,291
2023-03-15 11:23:56.567370-04:00,296
2023-03-15 11:29:12.819888-04:00,302
2023-03-15 11:34:27.385218-04:00,300
